Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
46,467413,0
498,822053,263851
994,1373060,814858
1498,2664656,2106454
2001,4267121,3708919
2505,3526696,2968494
3007,4706531,4148329
3508,2974435,2416233
4011,2650650,2092448
4514,1962669,1404467
5016,3124854,2566652
5526,2254324,1696122
6034,445365,0
6549,214301,0
7065,113821,0
7528,57863,0
8008,1265129,706927
8510,1290712,732510
9012,2024429,1466227
9539,86380,0
10043,72905,0
10552,74165,0
11057,108876,0
11549,842407,284205
12047,377571,0
12550,131741,0
13052,325690,0
13522,45310,0
14022,39191,0
14520,64800,0
15027,36578,0
15532,54867,0
16031,37449,0
16535,33965,0
17041,62498,0
17547,58890,0
18055,63044,0
18559,288780,0
19045,814921,256719
19563,88584,0
20067,36578,0
20572,58514,0
21078,50512,0
21532,46267,0
22043,63734,0
22544,39191,0
23055,64115,0
23557,126847,0
24065,44416,0
24568,46663,0
25073,40932,0
25580,58491,0
26092,46158,0
26544,61373,0
27060,83213,0
27561,49040,0
28067,65456,0
28577,62574,0
29085,55406,0
29591,43614,0
30101,60832,0
30559,51280,0
31063,104459,0
31545,1288854,730652
32077,247741,0
32560,382519,0
33087,44686,0
33602,54541,0
34111,54867,0
34613,48118,0
35068,64585,0
35552,659648,101446
36084,40932,0
36568,679388,121186
,,
,,
