Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
36,756525,147683
494,1063358,454516
997,1377605,768763
1499,2319912,1711070
1996,3791609,3182767
2498,2440628,1831786
3001,2052756,1443914
3504,2277496,1668654
4007,2662020,2053178
4508,3453407,2844565
5010,4417877,3809035
5513,3852996,3244154
6021,2196601,1587759
6524,136229,0
7027,2312396,1703554
7541,1631981,1023139
8035,1185030,576188
8540,1822792,1213950
9033,1742922,1134080
9535,2449150,1840308
9987,1733669,1124827
10491,1279031,670189
11001,381777,0
11534,200467,0
12008,1168725,559883
12512,385679,0
13016,522018,0
13519,537546,0
14034,135179,0
14524,761531,152689
15039,214825,0
15544,156222,0
16055,139484,0
16556,129698,0
17058,183620,0
17559,161323,0
18052,917772,308930
18564,111587,0
19022,132815,0
19522,171096,0
20025,131563,0
20531,132433,0
21031,115831,0
21533,122746,0
22038,158454,0
22544,175809,0
23045,180513,0
23552,105380,0
24054,150642,0
24560,154627,0
25059,217079,0
25564,178873,0
26076,131673,0
26530,215828,0
27032,201157,0
27539,157338,0
28046,172173,0
28546,166265,0
29041,197640,0
29554,160685,0
30051,308676,0
30561,154534,0
31076,196255,0
31570,167380,0
32072,170728,0
32578,176307,0
33085,132161,0
33588,154389,0
34047,144327,0
34538,393664,0
35044,159091,0
35552,135020,0
36060,159522,0
36540,1268263,659421
,,
,,
