Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
64,1614859,669868
538,1691206,746215
997,2572747,1627756
1498,4413351,3468360
2001,4492022,3547031
2505,3785087,2840096
3002,2966408,2021417
3505,1200627,255636
4014,162785,0
4544,56526,0
5049,55738,0
5556,71965,0
6053,229437,0
6563,89200,0
7062,298619,0
7529,96683,0
8028,216775,0
8542,54358,0
9049,72504,0
9557,84307,0
10055,31352,0
10571,37449,0
11074,33094,0
11579,147923,0
12048,49098,0
12522,601561,0
13025,133368,0
13528,70363,0
14045,26998,0
14546,24385,0
15053,26998,0
15554,22643,0
16061,32223,0
16560,26998,0
17062,29611,0
17568,31352,0
18079,75931,0
18581,54168,0
19090,38891,0
19588,82619,0
20050,32223,0
20557,39191,0
21060,23514,0
21566,73294,0
22079,27668,0
22581,36578,0
23086,41803,0
23589,35306,0
24095,33965,0
24549,87480,0
25059,39661,0
25549,695499,0
26059,40944,0
26560,317610,0
27083,33106,0
27593,26998,0
28096,34836,0
28605,46828,0
29062,45914,0
29571,46920,0
30083,37449,0
30587,44485,0
31092,52793,0
31589,767200,0
32109,29863,0
32612,79252,0
33067,33094,0
33576,58088,0
34070,380014,0
34591,17418,0
35101,41603,0
35609,43545,0
36121,27869,0
36622,573257,0
,,
,,
,,
