Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
58,1043006,587506
489,1235753,780253
991,1466757,1011257
1493,2566252,2110752
1994,3672068,3216568
2498,3165082,2709582
2994,3788552,3333052
3500,2718263,2262763
4004,1608848,1153348
4502,2046360,1590860
5005,2706836,2251336
5521,1209740,754240
6027,55876,0
6565,71460,0
7061,58417,0
7517,60092,0
8027,39191,0
8523,577114,121614
9031,98722,0
9528,490909,35409
10046,69748,0
10560,57818,0
11076,28252,0
11527,94535,0
12004,1159672,704172
12508,184519,0
13013,81691,0
13518,179252,0
14039,61067,0
14538,178180,0
15038,29611,0
15539,27869,0
16040,27668,0
16531,171348,0
17049,40932,0
17557,38320,0
18063,44678,0
18564,39661,0
19074,27869,0
19583,31216,0
20033,47568,0
20542,43910,0
21046,44852,0
21552,43545,0
22053,42674,0
22559,39191,0
23067,32120,0
23571,41872,0
24060,680688,225188
24560,974380,518880
25084,1093148,637648
25519,1677454,1221954
26041,1139960,684460
26546,1102629,647129
27052,1103500,648000
27552,975851,520351
28063,1092178,636678
28569,1091308,635808
29076,1096533,641033
29585,1086953,631453
30089,1107246,651746
30614,1109475,653975
31050,724657,269157
31558,41626,0
32064,31364,0
32569,35306,0
33079,46427,0
33589,33965,0
34098,47098,0
34603,31352,0
35067,39191,0
35566,41803,0
36078,27597,0
36568,638138,182638
37081,781907,326407
,,
,,
,,
