Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
46,627873,87595
500,716852,176574
1005,1609865,1069587
1503,1822418,1282140
2024,1345552,805274
2503,1115619,575341
3005,2278066,1737788
3509,2869779,2329501
4015,1495169,954891
4520,1179419,639141
5042,968342,428064
5545,1142855,602577
6038,1274234,733956
6556,195383,0
7067,66642,0
7520,118839,0
8001,641488,101210
8532,24397,0
9038,47029,0
9548,82579,0
10051,55761,0
10558,45556,0
11068,33094,0
11520,578717,38439
12033,78424,0
12509,384756,0
13012,142776,0
13514,46909,0
14032,24408,0
14539,46554,0
15032,38320,0
15539,32223,0
16041,33965,0
16544,22643,0
17046,31364,0
17565,20030,0
18059,36578,0
18553,338667,0
19073,72389,0
19526,61032,0
20035,24385,0
20542,52323,0
21047,30481,0
21551,34435,0
22058,25256,0
22564,31109,0
23070,39789,0
23571,46227,0
24078,24385,0
24581,33965,0
25090,23514,0
25540,38320,0
26047,38129,0
26552,52323,0
27059,40531,0
27570,81075,0
28073,44886,0
28581,35776,0
29095,41202,0
29549,58019,0
30059,44485,0
30575,44015,0
31085,47029,0
31568,1365824,825546
32078,862164,321886
32572,1039663,499385
33081,926538,386260
33582,846071,305793
34058,38832,0
34566,47499,0
35072,41202,0
35589,42342,0
36090,35707,0
36575,602287,62009
,,
,,
