Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,903139,406310
490,953197,456368
986,1496559,999730
1488,1799138,1302309
1991,3051882,2555053
2500,1673586,1176757
3004,1850434,1353605
3504,2205277,1708448
4008,2858757,2361928
4514,2620645,2123816
5023,1564413,1067584
5539,660929,164100
6030,1880127,1383298
6545,1518019,1021190
7050,121289,0
7552,106997,0
8045,408695,0
8512,51452,0
8999,582019,85190
9520,102848,0
10025,194086,0
10546,46708,0
11052,23623,0
11554,98196,0
12036,937720,440891
12541,281045,0
13047,93737,0
13552,121441,0
14015,101506,0
14522,32223,0
15022,36177,0
15524,40061,0
16027,25256,0
16531,27138,0
17040,27869,0
17541,101440,0
18047,64411,0
18553,50450,0
19057,29611,0
19564,25256,0
20069,44354,0
20526,33163,0
21033,19160,0
21538,22643,0
22048,27869,0
22555,32223,0
23060,38478,0
23546,416465,0
24065,30043,0
24577,42988,0
25074,31822,0
25579,36578,0
26039,26127,0
26542,54936,0
27051,37117,0
27560,46427,0
28068,31352,0
28577,36578,0
29081,30481,0
29590,50582,0
30051,33094,0
30557,48771,0
31065,32223,0
31578,33094,0
32079,51922,0
32588,50782,0
33102,48771,0
33603,56277,0
34061,60701,0
34569,35707,0
35076,29611,0
35583,72292,0
36093,54805,0
36597,376422,0
,,
,,
