Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
41,429271,0
493,696740,222157
998,1671365,1196782
1497,1975378,1500795
2002,2009629,1535046
2498,3764191,3289608
2998,3802304,3327721
3500,3322202,2847619
4005,2166348,1691765
4506,2396552,1921969
5018,2071273,1596690
5525,1520195,1045612
6022,1462255,987672
6527,1510379,1035796
7029,632572,157989
7550,94173,0
8005,230645,0
8511,437877,0
9028,866325,391742
9524,72285,0
10028,74050,0
10529,131771,0
11036,166963,0
11535,101544,0
12043,129719,0
12546,842407,367824
13028,321107,0
13533,287267,0
14038,247869,0
14550,72297,0
15051,68802,0
15554,76780,0
16060,74898,0
16513,78382,0
17012,94849,0
17515,73647,0
18021,208001,0
18531,74027,0
19031,142560,0
19545,75030,0
20044,119800,0
20553,91174,0
21054,102278,0
21558,80123,0
22072,78599,0
22572,119312,0
23077,89269,0
23535,69400,0
24024,343319,0
24541,108000,0
25045,81660,0
25550,94582,0
26054,99730,0
26560,102173,0
27066,104892,0
27575,106851,0
28081,96263,0
28588,100951,0
29044,81865,0
29547,93410,0
30055,84206,0
30563,96792,0
31064,170100,0
31546,1533615,1059032
32073,82005,0
32574,130019,0
33083,101221,0
33586,163879,0
34040,80193,0
34544,108313,0
35052,101544,0
35552,133627,0
36059,92212,0
36542,1275014,800431
,,
,,
,,
