Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,948045,285867
512,505948,0
1006,1248115,585937
1505,909995,247817
2012,2359200,1697022
2507,2702208,2040030
3012,1465891,803713
3513,1609256,947078
4016,2736396,2074218
4519,3593403,2931225
5027,3617938,2955760
5517,3794460,3132282
6020,3042628,2380450
6522,3329823,2667645
7024,2930908,2268730
7529,1399503,737325
8043,1524617,862439
8556,134774,0
9053,564527,0
9504,436914,0
10028,56364,0
10528,87798,0
11022,295488,0
11538,129725,0
12021,856894,194716
12526,253540,0
13031,228740,0
13546,36578,0
14048,60963,0
14551,52254,0
15054,73647,0
15556,59222,0
16061,42674,0
16565,53125,0
17062,88153,0
17570,57480,0
18062,276012,0
18581,45287,0
19034,65387,0
19539,52254,0
20045,66298,0
20551,58107,0
21058,57480,0
21561,68000,0
22071,52254,0
22571,85922,0
23076,95965,0
23577,127979,0
24087,72884,0
24595,71414,0
25043,83690,0
25550,64801,0
26060,68401,0
26560,90385,0
27064,107466,0
27581,64447,0
28080,72755,0
28582,76508,0
29089,73755,0
29596,65318,0
30098,74497,0
30554,60963,0
31062,60963,0
31563,84547,0
32072,62216,0
32577,114766,0
33082,73965,0
33591,65210,0
34101,102559,0
34605,99312,0
35108,81017,0
35611,66451,0
36123,67530,0
36562,144713,0
37070,539001,0
,,
,,
