Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,1286340,813021
489,821168,347849
997,1762254,1288935
1504,1819105,1345786
2009,1836096,1362777
2514,1725036,1251717
3012,3645618,3172299
3513,3493546,3020227
4016,2382028,1908709
4519,1867921,1394602
5019,2916659,2443340
5521,3341449,2868130
6025,2182885,1709566
6533,1902220,1428901
7054,374684,0
7543,152679,0
7996,967491,494172
8504,1092911,619592
9007,1048635,575316
9533,94940,0
10033,144180,0
10543,423948,0
11049,302897,0
11549,109825,0
12034,1015130,541811
12535,219760,0
13042,430378,0
13543,264311,0
14058,80342,0
14561,51140,0
15014,98196,0
15517,73540,0
16019,71414,0
16524,80994,0
17022,84591,0
17534,74898,0
18033,117495,0
18544,70543,0
19044,104572,0
19554,74490,0
20056,78899,0
20557,102660,0
21054,305337,0
21561,329238,0
22072,90385,0
22530,74735,0
23029,149040,0
23538,99372,0
24041,96563,0
24552,74381,0
25057,74898,0
25558,84478,0
26070,77457,0
26572,128797,0
27081,128835,0
27580,98740,0
28036,103244,0
28550,73946,0
29066,92757,0
29566,103297,0
30061,102819,0
30567,89682,0
31074,103345,0
31572,232059,0
32086,76640,0
32568,1119622,646303
33074,71437,0
33557,119040,0
34062,94597,0
34547,510700,37381
35069,72285,0
35576,72285,0
36077,71197,0
36560,1156561,683242
,,
,,
