Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,1387089,1008153
496,1454274,1075338
998,1320211,941275
1503,1696494,1317558
2020,1315219,936283
2531,159286,0
3019,1517916,1138980
3523,1371779,992843
4021,1706168,1327232
4524,2221810,1842874
5026,3027521,2648585
5528,3549675,3170739
6032,2578209,2199273
6543,668163,289227
7039,1927266,1548330
7563,820415,441479
7998,576172,197236
8498,1610540,1231604
9003,2188206,1809270
9509,1001728,622792
10009,2475978,2097042
10504,2265608,1886672
11008,1586606,1207670
11510,2021296,1642360
12018,845595,466659
12520,238441,0
13023,351334,0
13525,44439,0
14041,59506,0
14543,67931,0
15040,137700,0
15552,56609,0
16053,45287,0
16557,72204,0
17063,49641,0
17519,81920,0
18010,595117,216181
18529,54867,0
19036,60092,0
19542,63576,0
20031,386038,7102
20547,46158,0
21049,203558,0
21556,58025,0
22063,50512,0
22566,98174,0
23020,99312,0
23526,74027,0
24014,709839,330903
24520,340869,0
25030,156642,0
25555,93795,0
26055,116393,0
26565,70543,0
27067,82574,0
27574,127567,0
28082,60963,0
28592,57235,0
29042,89009,0
29551,71061,0
30052,117642,0
30557,67931,0
31065,75524,0
31567,94898,0
32076,103260,0
32582,72285,0
33087,84806,0
33591,88913,0
34051,90489,0
34557,67931,0
35049,256587,0
35566,83363,0
36068,84806,0
36563,295840,0
,,
,,
