Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,963747,421300
498,1368134,825687
1006,2763196,2220749
1493,4358841,3816394
1995,3436434,2893987
2502,2978592,2436145
3004,3120906,2578459
3506,4783714,4241267
4010,4452386,3909939
4509,3325591,2783144
5010,2431902,1889455
5528,1807693,1265246
6023,3112387,2569940
6533,2616161,2073714
7035,1179905,637458
7545,2487674,1945227
8034,2798371,2255924
8539,2131201,1588754
9043,2212654,1670207
9535,2245654,1703207
9987,1935664,1393217
10495,1380009,837562
11003,58431,0
11522,365105,0
12030,268063,0
12526,1145753,603306
13019,472023,0
13523,267655,0
14028,306387,0
14530,77667,0
15043,71347,0
15548,38331,0
16038,284259,0
16553,33094,0
17051,200275,0
17558,26998,0
18015,61974,0
18519,49664,0
19023,57594,0
19529,47138,0
20032,131929,0
20543,42674,0
21039,193708,0
21554,54867,0
22056,110287,0
22563,85302,0
23062,233107,0
23526,53234,0
24032,72963,0
24540,72423,0
25039,210124,0
25550,87568,0
26049,151027,0
26562,34836,0
27063,190425,0
27583,54936,0
28032,80732,0
28539,64516,0
29039,293306,0
29552,53996,0
30048,170726,0
30562,58296,0
31060,219974,0
31568,106262,0
32066,382676,0
32586,83756,0
33075,242956,0
33598,56609,0
34044,210124,0
34561,63686,0
35057,272505,0
35575,53631,0
36061,344103,0
36582,764148,221701
,,
,,
,,
