Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,798718,437083
497,1108219,746584
1003,1041598,679963
1505,2613298,2251663
2005,4074691,3713056
2506,3132072,2770437
3009,2722119,2360484
3512,1393591,1031956
4019,2610134,2248499
4514,4193929,3832294
5016,3437337,3075702
5520,1775269,1413634
6022,2096249,1734614
6525,3391640,3030005
7027,2164867,1803232
7529,1074156,712521
8031,2406159,2044524
8534,3043154,2681519
9039,3328197,2966562
9541,3185428,2823793
9993,1000530,638895
10494,1589770,1228135
10998,1958531,1596896
11501,2422349,2060714
12010,1439362,1077727
12512,497033,135398
13017,667787,306152
13523,303710,0
14035,184413,0
14531,405586,43951
15041,213399,0
15528,1025323,663688
16044,377909,16274
16544,559953,198318
17054,145063,0
17558,194400,0
18051,853241,491606
18556,316220,0
19056,482630,120995
19517,181706,0
20024,197640,0
20523,649273,287638
21022,1133013,771378
21520,1695439,1333804
22016,1464651,1103016
22530,1367197,1005562
23033,1446852,1085217
23543,1240708,879073
24044,1330947,969312
24548,1245193,883558
25059,1169690,808055
25557,1726022,1364387
26054,1557858,1196223
26560,1311189,949554
27063,1316922,955287
27560,1219595,857960
28059,769341,407706
28520,335227,0
29023,402332,40697
29524,377568,15933
30030,497374,135739
30541,224339,0
31035,416966,55331
31546,352530,0
32047,296663,0
32556,225313,0
33053,292408,0
33551,395373,33738
34058,518168,156533
34563,262337,0
35074,159569,0
35578,301957,0
36071,678233,316598
36579,853575,491940
,,
,,
