Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
43,557144,103014
517,107375,0
1017,851146,397016
1507,2141714,1687584
2007,3410791,2956661
2520,1773855,1319725
3010,1970650,1516520
3513,3167571,2713441
4014,5041589,4587459
4517,4046088,3591958
5019,3230960,2776830
5523,1407808,953678
6028,1460833,1006703
6531,1273267,819137
7032,1541102,1086972
7537,1812624,1358494
8039,2635896,2181766
8492,1725207,1271077
8993,2213883,1759753
9497,1535785,1081655
9998,2428551,1974421
10506,1466041,1011911
11033,106308,0
11529,233572,0
12014,1476884,1022754
12520,773041,318911
13017,163973,0
13523,553992,99862
14044,54901,0
14552,127333,0
15056,97440,0
15554,47499,0
16058,41640,0
16563,50558,0
17068,45287,0
17571,55337,0
18029,68149,0
18529,75879,0
19040,54008,0
19539,82574,0
20051,45287,0
20554,75506,0
21060,62843,0
21566,69972,0
22068,54867,0
22576,54867,0
23078,86697,0
23532,50512,0
24040,50077,0
24535,161832,0
25047,45469,0
25556,50982,0
26061,51653,0
26568,47029,0
27074,50982,0
27581,53125,0
28088,60092,0
28543,58653,0
29050,61834,0
29555,79119,0
30053,180576,0
30568,68942,0
31074,56609,0
31561,1111364,657234
32089,436901,0
32598,52010,0
33044,115574,0
33552,94996,0
34054,206841,0
34569,40061,0
35076,44416,0
35587,74635,0
36077,460127,5997
36576,421691,0
,,
,,
