Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,1242355,772466
496,542752,72863
999,1302732,832843
1500,1726263,1256374
2001,2963077,2493188
2507,3249206,2779317
3009,3037922,2568033
3514,1662413,1192524
4015,1542324,1072435
4517,1942040,1472151
5018,3739329,3269440
5522,4404561,3934672
6032,3787506,3317617
6536,2752055,2282166
7029,678240,208351
7533,1734478,1264589
8048,2216270,1746381
8536,1800607,1330718
9041,2688391,2218502
9537,3327875,2857986
10045,2189990,1720101
10491,3357468,2887579
10993,1111816,641927
11497,2860345,2390456
12001,1676790,1206901
12505,646714,176825
13009,487560,17671
13524,148250,0
14020,351500,0
14528,278748,0
15027,436665,0
15532,318279,0
16031,354519,0
16527,797921,328032
17036,426816,0
17542,318279,0
18044,376513,0
18542,946452,476563
19046,342173,0
19548,762077,292188
20059,252100,0
20563,237053,0
21065,296738,0
21569,243000,0
22016,404403,0
22518,370935,0
23021,583336,113447
23527,321453,0
24023,1050183,580294
24525,856277,386388
25029,755167,285278
25538,301759,0
26035,688207,218318
26539,670285,200396
27044,384880,0
27549,385598,0
28050,453081,0
28555,385280,0
29058,436665,0
29563,336353,0
30068,277119,0
30568,407592,0
31077,238140,0
31521,493150,23261
32019,1021659,551770
32528,398551,0
33027,653298,183409
33532,427486,0
34045,198132,0
34541,396754,0
35043,459647,0
35551,295125,0
36045,1668692,1198803
36542,1610453,1140564
,,
,,
