Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
13,808878,565336
500,1459229,1215687
1011,813712,570170
1511,2208508,1964966
2007,3167191,2923649
2509,2451682,2208140
3016,2441118,2197576
3520,3948470,3704928
4020,2728364,2484822
4544,115512,0
5032,1532922,1289380
5543,2944297,2700755
6037,1025333,781791
6541,1008045,764503
7046,920445,676903
7507,935673,692131
8018,765148,521606
8525,1086082,842540
9032,1128358,884816
9525,1180713,937171
10036,1180214,936672
10528,1261611,1018069
11046,1085359,841817
11534,1749155,1505613
12032,1341761,1098219
12532,1414993,1171451
13035,1193025,949483
13538,1079115,835573
14037,1144103,900561
14546,66464,0
15064,40107,0
15564,26998,0
16065,20901,0
16568,26127,0
17027,53125,0
17531,35707,0
18036,30481,0
18542,29611,0
19046,32768,0
19554,31352,0
20058,74304,0
20566,41803,0
21067,35707,0
21573,46866,0
22077,50214,0
22533,26127,0
23040,31352,0
23545,37449,0
24050,59222,0
24554,46158,0
25060,29611,0
25567,33094,0
26080,44879,0
26583,49641,0
27093,59258,0
27549,62443,0
28055,75105,0
28564,30481,0
29070,43545,0
29578,60701,0
30085,43545,0
30594,65325,0
31104,43545,0
31562,82812,0
32069,59141,0
32574,87837,0
33080,46427,0
33587,37248,0
34097,25256,0
34604,33564,0
35118,37205,0
35568,42674,0
36079,60030,0
36581,496353,252811
,,
,,
,,
