Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
23,1632066,1162131
497,1988155,1518220
1004,3049118,2579183
1502,2024208,1554273
2006,2205193,1735258
2506,3473241,3003306
3013,3615630,3145695
3513,2515341,2045406
4044,458031,0
4534,303358,0
5048,44793,0
5558,137416,0
6058,247545,0
6527,58460,0
7029,47900,0
7533,115293,0
8027,526138,56203
8549,28751,0
9039,473226,3291
9569,32504,0
10024,50111,0
10534,43301,0
11036,40932,0
11549,48009,0
12034,807036,337101
12525,179864,0
13029,170475,0
13531,63350,0
14046,26998,0
14548,24385,0
15051,24385,0
15553,29611,0
16053,25883,0
16560,22643,0
17066,22643,0
17569,40932,0
18075,41803,0
18579,21772,0
19033,37939,0
19540,39191,0
20044,35707,0
20548,33965,0
21058,29611,0
21563,48283,0
22066,33965,0
22569,40932,0
23073,43545,0
23580,26127,0
24082,52446,0
24588,30481,0
25043,33965,0
25547,40061,0
26053,38320,0
26561,30481,0
27067,35707,0
27574,34836,0
28084,72704,0
28595,33106,0
29055,47187,0
29563,39191,0
30073,39191,0
30575,45287,0
31091,50349,0
31589,240513,0
32097,41649,0
32600,95800,0
33114,40944,0
33568,44015,0
34076,52994,0
34582,73225,0
35084,353547,0
35595,38142,0
36105,42402,0
36612,103936,0
,,
,,
,,
