Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,1526035,873458
489,1038989,386412
992,1481391,828814
1498,1889793,1237216
1999,3161196,2508619
2502,2667721,2015144
3004,2493169,1840592
3510,2811830,2159253
4010,2535244,1882667
4513,1923420,1270843
5011,2247383,1594806
5512,2257917,1605340
6016,2221500,1568923
6521,477613,0
7023,1144422,491845
7550,1092190,439613
8059,193627,0
8522,28440,0
9016,647791,0
9514,167889,0
10036,82542,0
10544,82736,0
11038,623798,0
11528,1239785,587208
12034,901071,248494
12540,362571,0
13055,26395,0
13553,26127,0
14061,63748,0
14565,34034,0
15073,40170,0
15568,46238,0
16022,30481,0
16530,46757,0
17030,42273,0
17532,29611,0
18039,58025,0
18548,35341,0
19049,43144,0
19559,20901,0
20066,42073,0
20570,31352,0
21072,31352,0
21577,30751,0
22043,66396,0
22538,33965,0
23047,38048,0
23550,38990,0
24065,52254,0
24566,93063,0
25066,44634,0
25575,55607,0
26079,29611,0
26591,37449,0
27042,54535,0
27554,32223,0
28069,83690,0
28551,1041444,388867
29064,1008735,356158
29567,1095662,443085
30071,1085211,432634
30585,1083469,430892
31096,1093784,441207
31586,940225,287648
32097,1125151,472574
32544,1100888,448311
33056,1102508,449931
33558,1086953,434376
34063,1094791,442214
34572,1089566,436989
35071,1058649,406072
35591,56157,0
36104,33094,0
36590,285638,0
37100,780724,128147
,,
