Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
28,574935,50740
502,580457,56262
1001,1122246,598051
1501,3598191,3073996
2005,2627841,2103646
2510,1598716,1074521
3016,2087027,1562832
3515,3241035,2716840
4023,4200218,3676023
4517,3311093,2786898
5020,4104532,3580337
5522,3331843,2807648
6027,4415557,3891362
6541,4303234,3779039
7036,2890352,2366157
7559,1552691,1028496
8001,1628172,1103977
8504,670495,146300
9011,132535,0
9524,423895,0
10041,74603,0
10551,76904,0
11055,51383,0
11562,76319,0
12000,535456,11261
12500,729449,205254
13002,152598,0
13505,83844,0
14021,15676,0
14516,58320,0
15026,32223,0
15527,20901,0
16030,26998,0
16531,20901,0
17026,69919,0
17546,78824,0
18052,40932,0
18560,34292,0
19066,52608,0
19567,43301,0
20070,40531,0
20523,33094,0
21032,38510,0
21542,34836,0
22045,27869,0
22550,31570,0
23050,36578,0
23561,78464,0
24065,68539,0
24570,46158,0
25076,40601,0
25583,23514,0
26040,31053,0
26531,264771,0
27051,74898,0
27555,55025,0
28065,48423,0
28571,78859,0
29076,48771,0
29588,53934,0
30047,41334,0
30562,41803,0
31062,36578,0
31544,1165280,641085
32070,35976,0
32563,269118,0
33082,53865,0
33594,56785,0
34099,68138,0
34550,77480,0
35066,26127,0
35570,38320,0
36079,60500,0
36575,552185,27990
,,
,,
,,
