Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,866181,640158
504,1298579,1072556
998,1647685,1421662
1500,2319403,2093380
2002,3404297,3178274
2510,933094,707071
3017,1859621,1633598
3512,1689009,1462986
4020,2005642,1779619
4521,2435427,2209404
5023,2483442,2257419
5522,3427889,3201866
6028,4507183,4281160
6527,2869414,2643391
7028,6177862,5951839
7530,5415568,5189545
8040,9303823,9077800
8494,7916839,7690816
8995,6696995,6470972
9503,6353494,6127471
10027,903503,677480
10533,33094,0
11036,65329,0
11518,1088969,862946
12026,194452,0
12531,60389,0
13044,30504,0
13534,372844,146821
14052,67827,0
14558,28359,0
15054,35306,0
15561,70927,0
16063,37919,0
16553,219428,0
17072,25256,0
17534,27189,0
18034,40143,0
18529,437375,211352
19043,49367,0
19546,77752,0
20057,33584,0
20559,45287,0
21065,26127,0
21573,30481,0
22081,22643,0
22580,39191,0
23038,32223,0
23544,34836,0
24035,351314,125291
24554,67268,0
25063,51522,0
25562,51383,0
26070,35707,0
26573,51383,0
27084,44416,0
27592,34836,0
28100,40932,0
28548,35306,0
29055,47969,0
29564,27869,0
30067,44015,0
30574,44485,0
31082,35707,0
31581,264311,38288
32080,892496,666473
32573,818980,592957
33078,1195437,969414
33530,1118778,892755
34035,1086082,860059
34542,1114979,888956
35046,1086953,860930
35552,932026,706003
36059,1098432,872409
36563,1881655,1655632
,,
,,
,,
