Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
43,462275,0
498,689206,149903
994,1321458,782155
1502,2576249,2036946
2008,1944730,1405427
2507,1470715,931412
3015,2142602,1603299
3517,2173507,1634204
4028,2241322,1702019
4523,1286357,747054
5042,824640,285337
5534,1874365,1335062
6040,2832768,2293465
6547,2070324,1531021
7045,3582882,3043579
7495,2706498,2167195
7995,2322873,1783570
8514,1748482,1209179
9016,1810630,1271327
9521,1828977,1289674
10034,1586752,1047449
10541,751482,212179
11046,918281,378978
11557,50214,0
12033,468778,0
12539,254883,0
13042,141491,0
13555,21807,0
14058,47900,0
14564,20901,0
15064,29611,0
15516,31352,0
16018,21772,0
16521,26998,0
17028,33965,0
17531,39191,0
18040,42674,0
18544,26127,0
19055,105616,0
19558,48370,0
20061,39260,0
20570,51452,0
21075,38320,0
21581,78388,0
22039,78658,0
22544,31352,0
23048,37449,0
23548,41803,0
24057,42273,0
24566,54136,0
25070,47556,0
25577,30481,0
26082,31352,0
26522,206841,0
27043,35506,0
27552,31352,0
28059,46697,0
28562,44015,0
29079,39940,0
29580,24385,0
30081,33094,0
30595,36687,0
31047,87167,0
31535,1106916,567613
32058,29880,0
32562,53125,0
33077,49040,0
33579,48662,0
34087,33965,0
34597,28740,0
35107,43815,0
35566,38646,0
36077,44416,0
36580,549353,10050
,,
,,
,,
