Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,1245096,659364
499,809270,223538
1002,1015520,429788
1501,2046947,1461215
1999,3300572,2714840
2506,2818012,2232280
3009,1793776,1208044
3513,2029184,1443452
4015,2026310,1440578
4516,1496837,911105
5012,1854236,1268504
5519,2351062,1765330
6019,1194555,608823
6534,727541,141809
7039,1611846,1026114
7536,3772155,3186423
8025,6143346,5557614
8528,5527577,4941845
9030,8916276,8330544
9538,8511594,7925862
9992,7341518,6755786
10521,6182375,5596643
10996,1856531,1270799
11498,264909,0
12003,98850,0
12518,26368,0
13007,329824,0
13510,23537,0
14024,27903,0
14519,712225,126493
15037,32258,0
15543,26127,0
16048,183668,0
16549,36177,0
17054,44649,0
17561,50582,0
18050,336994,0
18517,26998,0
19024,24385,0
19514,633610,47878
20023,143058,0
20540,59560,0
21045,26127,0
21553,27869,0
22057,40932,0
22561,29611,0
23071,27869,0
23574,37460,0
24026,96323,0
24544,64996,0
25041,73480,0
25554,46866,0
26053,35707,0
26563,50512,0
27067,67267,0
27573,34836,0
28086,28740,0
28539,63175,0
29044,40932,0
29552,46077,0
30059,33094,0
30566,38565,0
31075,49911,0
31584,29611,0
32089,50512,0
32555,42674,0
33055,41001,0
33562,62443,0
34071,66127,0
34578,55876,0
35088,38320,0
35596,52392,0
36095,251762,0
36536,1244571,658839
,,
,,
,,
