Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
53,388664,9474
504,781219,402029
1003,995534,616344
1499,3266778,2887588
2002,4363173,3983983
2510,1368060,988870
3018,328723,0
3546,59113,0
4053,48840,0
4564,49641,0
5073,36578,0
5523,122073,0
6022,200721,0
6536,48190,0
7043,42674,0
7550,35707,0
8034,423035,43845
8554,91929,0
9082,44988,0
9577,59761,0
10032,98912,0
10546,44069,0
11046,75036,0
11548,59314,0
12040,537757,158567
12536,265234,0
13039,81241,0
13540,66584,0
14054,15676,0
14558,23514,0
15061,22643,0
15564,29611,0
16054,351334,0
16568,16558,0
17072,24385,0
17577,27869,0
18083,40061,0
18537,30481,0
19042,27869,0
19549,41803,0
20056,25256,0
20559,33094,0
21065,15676,0
21569,39191,0
22074,28740,0
22580,23514,0
23087,33094,0
23591,33965,0
24048,35707,0
24552,73072,0
25058,20901,0
25561,33965,0
26076,22371,0
26584,69410,0
27092,45425,0
27599,53733,0
28106,58959,0
28563,74034,0
29073,53733,0
29582,53464,0
30088,55275,0
30595,57618,0
31101,57888,0
31608,120185,0
32115,56747,0
32622,186582,0
33076,71020,0
33577,154310,0
34101,48716,0
34604,64184,0
35116,33094,0
35621,58288,0
36127,78856,0
36562,573785,194595
,,
,,
