Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
22,1162231,505484
495,1552465,895718
992,853080,196333
1500,2445655,1788908
2003,3240721,2583974
2506,4161151,3504404
3009,2283660,1626913
3511,1102985,446238
4017,2467199,1810452
4519,2464875,1808128
5027,2643921,1987174
5526,390234,0
6056,57526,0
6565,71687,0
7017,65481,0
7520,43568,0
8025,57148,0
8538,27625,0
9026,607895,0
9529,37483,0
10053,149100,0
10563,38320,0
11073,67129,0
11511,679566,22819
12010,182653,0
12512,149091,0
13013,88558,0
13528,15676,0
14031,47029,0
14535,24385,0
15041,18289,0
15542,31352,0
16043,20901,0
16546,28740,0
17053,40932,0
17561,35718,0
18063,40415,0
18566,26998,0
19071,32223,0
19527,31352,0
20033,22643,0
20522,351334,0
21042,40061,0
21547,55357,0
22052,26127,0
22559,33094,0
23061,40932,0
23566,30481,0
24079,39665,0
24585,53996,0
25037,32693,0
25545,27869,0
26055,39191,0
26562,40932,0
27078,24385,0
27581,39191,0
28088,34836,0
28597,39165,0
29057,46458,0
29568,33094,0
30093,43444,0
30584,38320,0
31094,32023,0
31609,33040,0
32046,268265,0
32562,53125,0
33070,30951,0
33581,30318,0
34088,44335,0
34593,54466,0
35105,30481,0
35564,51452,0
36068,29611,0
36565,148127,0
,,
,,
