Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
27,80692,0
475,785585,334561
978,1064217,613193
1481,2430890,1979866
1983,1547619,1096595
2486,1576070,1125046
3007,1014679,563655
3518,207382,0
4016,132903,0
4531,54959,0
4989,35741,0
5505,116508,0
5995,80010,0
6516,48169,0
7032,31706,0
7532,110906,0
8038,59772,0
8548,41800,0
9007,46158,0
9517,34349,0
10021,72354,0
10528,77448,0
11038,60100,0
11543,76308,0
12037,379012,0
12530,936209,485185
12985,1664585,1213561
13489,192705,0
14005,25256,0
14508,20901,0
15008,22643,0
15512,33965,0
16014,21772,0
16519,34945,0
17020,22643,0
17530,37460,0
18032,37449,0
18537,43414,0
19044,44416,0
19548,29611,0
20051,53125,0
20558,39191,0
21011,31352,0
21517,33094,0
22025,24385,0
22529,37449,0
23034,38810,0
23537,45556,0
24042,36578,0
24549,30481,0
25055,38320,0
25558,33094,0
26063,35707,0
26570,30481,0
27035,49310,0
27531,33094,0
28038,34836,0
28546,27869,0
29059,46158,0
29565,33094,0
30070,57217,0
30578,45626,0
31035,31352,0
31525,1297787,846763
32051,55756,0
32542,228697,0
33063,38589,0
33566,102592,0
34081,30481,0
34587,42065,0
35045,39661,0
35554,39861,0
36067,29410,0
36554,411499,0
,,
,,
