Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
46,61264,0
480,1107544,667101
1000,616942,176499
1486,2011645,1571202
1996,1235138,794695
2484,3435037,2994594
2986,3128489,2688046
3490,2519586,2079143
3992,2906423,2465980
4494,1415022,974579
5002,944534,504091
5514,1402502,962059
6034,231744,0
6540,115997,0
7026,659648,219205
7529,1276276,835833
8046,198715,0
8495,481992,41549
9016,43028,0
9519,39225,0
10023,154256,0
10536,81957,0
11042,29611,0
11568,30281,0
12062,53148,0
12491,809702,369259
12999,326307,0
13504,84001,0
14006,133441,0
14521,33965,0
15021,22643,0
15526,29611,0
16028,22643,0
16529,30481,0
17031,26127,0
17537,20901,0
18041,47499,0
18532,351334,0
19052,20901,0
19556,25256,0
20061,24385,0
20568,24385,0
21022,26127,0
21528,26127,0
22034,23514,0
22542,25256,0
23046,26998,0
23551,27869,0
24058,16547,0
24565,24385,0
25069,37472,0
25572,22643,0
26028,27869,0
26539,30751,0
27028,996643,556200
27556,69221,0
28060,33977,0
28572,61772,0
29077,31352,0
29591,30563,0
30042,73564,0
30536,394355,0
31055,29009,0
31571,32894,0
32069,53996,0
32580,40143,0
33094,66797,0
33594,46227,0
34051,33965,0
34556,43345,0
35065,32693,0
35570,60092,0
36077,34235,0
36590,60231,0
37091,542847,102404
,,
,,
