Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
24,1813979,978949
502,1491904,656874
996,1729200,894170
1506,3888512,3053482
2002,4598297,3763267
2503,3563722,2728692
3005,2355762,1520732
3507,2829989,1994959
4013,2868777,2033747
4522,1985885,1150855
5026,1111576,276546
5532,528641,0
6051,71414,0
6551,80505,0
7056,126766,0
7560,290389,0
8000,956973,121943
8520,102340,0
9028,65318,0
9530,94849,0
10034,122076,0
10535,115090,0
11046,125487,0
11554,160955,0
12032,321532,0
12535,243507,0
13038,256363,0
13552,69184,0
14059,117047,0
14556,69672,0
15059,59222,0
15564,65318,0
16065,53996,0
16572,52254,0
17026,119259,0
17529,63576,0
18033,69672,0
18539,74027,0
19046,77674,0
19549,72285,0
20053,52254,0
20557,86207,0
21063,57480,0
21566,79252,0
22070,59222,0
22580,61834,0
23031,67931,0
23530,126360,0
24037,68802,0
24542,103776,0
25050,63114,0
25546,127979,0
26063,155575,0
26569,109355,0
27072,118119,0
27582,85118,0
28087,82383,0
28592,77511,0
29050,138288,0
29545,126360,0
30060,78273,0
30564,89106,0
31073,128169,0
31577,153326,0
32081,74926,0
32562,810359,0
33085,95606,0
33591,140491,0
34104,61834,0
34601,80994,0
35063,147599,0
35570,137026,0
36075,87699,0
36571,343009,0
,,
,,
