Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,1215197,756785
491,1673766,1215354
984,1455561,997149
1486,1608423,1150011
1998,1881387,1422975
2504,115304,0
3007,1175267,716855
3510,2108822,1650410
4010,3132308,2673896
4512,3570098,3111686
5015,4511790,4053378
5520,4227267,3768855
6024,3636906,3178494
6541,1511096,1052684
7045,121574,0
7551,72285,0
8048,131486,0
8507,76069,0
9011,82574,0
9499,1629417,1171005
10007,1715652,1257240
10509,1405024,946612
11016,1218445,760033
11516,1250789,792377
12010,1464082,1005670
12512,1483083,1024671
13021,1918806,1460394
13520,534585,76173
14035,83820,0
14531,236390,0
15026,724179,265767
15544,67931,0
16048,109843,0
16545,160380,0
17042,498700,40288
17549,109410,0
17996,632721,174309
18510,109355,0
19015,66189,0
19521,72285,0
20028,69672,0
20526,72449,0
21025,262656,0
21534,88296,0
22031,269222,0
22542,81458,0
23033,652925,194513
23534,1295242,836830
24048,1196519,738107
24559,1138337,679925
25053,1316915,858503
25565,1156791,698379
26011,1336614,878202
26508,1718211,1259799
27030,1143030,684618
27529,1218733,760321
28036,1148337,689925
28538,1128975,670563
29041,1164602,706190
29528,1110603,652191
30051,298102,0
30561,119148,0
31052,259372,0
31549,752859,294447
32064,157273,0
32574,70761,0
33070,165240,0
33526,78904,0
34030,108739,0
34539,87038,0
35046,121243,0
35548,86275,0
36041,282355,0
36546,1165600,707188
,,
,,
