Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
31,550238,102809
511,420934,0
1021,745323,297894
1507,2260081,1812652
2011,4647614,4200185
2516,5264760,4817331
3025,3940957,3493528
3517,3920097,3472668
4023,3603391,3155962
4517,2501958,2054529
5028,1455754,1008325
5532,1345282,897853
6045,373871,0
6540,576957,129528
7012,61912,0
7517,67071,0
8006,1165493,718064
8525,376258,0
9030,67060,0
9534,76640,0
10040,68847,0
10547,116816,0
11054,91583,0
11561,127028,0
12041,914402,466973
12546,332678,0
13049,217078,0
13501,189779,0
14015,84806,0
14517,54623,0
15022,67495,0
15527,105255,0
16027,66244,0
16529,73048,0
17040,60092,0
17539,74027,0
18049,69727,0
18552,63576,0
19056,106007,0
19565,164508,0
20073,83130,0
20576,95606,0
21029,96947,0
21536,138488,0
22045,107267,0
22551,76676,0
23052,70543,0
23560,71414,0
24060,117918,0
24566,85922,0
25075,70543,0
25578,55738,0
26085,63576,0
26537,110011,0
27049,70380,0
27553,144585,0
28056,94735,0
28564,80056,0
29067,103776,0
29578,96236,0
30078,124862,0
30584,89510,0
31088,118789,0
31574,1111364,663935
32051,85349,0
32555,88289,0
33055,113819,0
33564,96007,0
34065,94739,0
34569,94849,0
35077,99961,0
35577,92316,0
36087,59222,0
36593,96603,0
,,
,,
,,
