Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
25,1079010,437678
498,728968,87636
998,1307653,666321
1502,1792469,1151137
1997,2680438,2039106
2504,2716780,2075448
3007,2675658,2034326
3508,3572361,2931029
4006,4174565,3533233
4506,3821792,3180460
5008,2166696,1525364
5513,1141264,499932
6021,1146344,505012
6530,774370,133038
7047,68813,0
7553,78218,0
8056,93732,0
8509,72857,0
8998,623376,0
9516,55085,0
10012,214050,0
10525,178200,0
11017,604152,0
11511,1294021,652689
12016,319714,0
12521,190324,0
13028,239673,0
13538,56729,0
14037,99312,0
14546,64447,0
15045,147027,0
15546,108069,0
16047,101266,0
16543,767200,125868
17053,137615,0
17552,160538,0
18008,172541,0
18521,89595,0
19021,152280,0
19528,82084,0
20033,169447,0
20530,176580,0
21032,166271,0
21530,616628,0
22044,89269,0
22550,80123,0
23052,98196,0
23558,83690,0
24064,170719,0
24571,71414,0
25010,282355,0
25527,66380,0
26020,275788,0
26519,540292,0
27038,89649,0
27544,106007,0
28039,328320,0
28553,70680,0
29050,157140,0
29557,99312,0
30059,115020,0
30568,67060,0
31070,113819,0
31571,545140,0
32025,171689,0
32534,67931,0
33023,910601,269269
33544,69684,0
34041,136080,0
34550,73483,0
35046,198190,0
35555,61834,0
36056,140940,0
36562,94849,0
,,
,,
,,
