Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
56,659384,238457
528,810220,389293
1038,1376658,955731
1537,2351790,1930863
2045,2817846,2396919
2539,3061366,2640439
3068,3047025,2626098
3549,2853697,2432770
4055,2810676,2389749
4556,2595574,2174647
5067,1818145,1397218
5565,1165667,744740
6033,78852,0
6536,114034,0
7043,33965,0
7556,40061,0
8061,54535,0
8568,38320,0
9076,52994,0
9586,40932,0
10088,41803,0
10542,40932,0
11038,262656,0
11538,559267,138340
12037,513661,92734
12544,74805,0
13045,99740,0
13563,25526,0
14060,40601,0
14564,37919,0
15067,23314,0
15571,37919,0
16074,34435,0
16576,17418,0
17083,41885,0
17588,32223,0
18088,63783,0
18598,34836,0
19053,65395,0
19557,40061,0
20064,35707,0
20568,39191,0
21074,32363,0
21578,46158,0
22087,40279,0
22589,44084,0
23098,47674,0
23603,39408,0
24109,63087,0
24562,58959,0
25066,50582,0
25573,56077,0
26083,55745,0
26589,42674,0
27102,42212,0
27612,56671,0
28113,32686,0
28621,39661,0
29080,39381,0
29587,41803,0
30101,38589,0
30602,31109,0
31113,22643,0
31619,50582,0
32106,1190235,769308
32581,24250,0
33097,52844,0
33600,47969,0
34107,65926,0
34616,37449,0
35127,47367,0
35632,30481,0
36143,34435,0
36595,32223,0
37090,731349,310422
,,
,,
