Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
34,343704,0
478,1375304,931781
983,1905842,1462319
1479,1571998,1128475
1986,1526949,1083426
2489,2971716,2528193
2986,4401655,3958132
3486,4360690,3917167
3988,4126826,3683303
4491,2040579,1597056
4999,1657743,1214220
5502,1397820,954297
6018,82083,0
6482,272623,0
6978,580483,136960
7476,948205,504682
7985,838901,395378
8501,60500,0
9013,70326,0
9522,37721,0
10030,42674,0
10530,200807,0
11044,85920,0
11497,169196,0
11983,1043660,600137
12481,876905,433382
12993,1314355,870832
13505,1161722,718199
14005,1101758,658235
14507,1132849,689326
15014,1079986,636463
15526,1023292,579769
16019,998964,555441
16513,1171556,728033
17043,1115693,672170
17541,1092178,648655
18048,1101655,658132
18501,1089566,646043
18987,653474,209951
19509,66192,0
20012,63995,0
20519,25256,0
21023,61641,0
21530,43884,0
22035,54805,0
22540,32550,0
23042,65256,0
23550,60701,0
24034,516246,72723
24557,70080,0
25012,95005,0
25518,67468,0
26024,57217,0
26528,63180,0
27021,544927,101404
27551,48674,0
28051,43545,0
28560,26127,0
29066,46427,0
29529,41803,0
30037,40331,0
30546,27869,0
31056,28539,0
31561,33094,0
32048,774370,330847
32585,55009,0
33028,58420,0
33535,27869,0
34050,28740,0
34555,39059,0
35065,26597,0
35573,30481,0
36082,33094,0
36537,195156,0
37040,647609,204086
37538,264044,0
,,
,,
