Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
53,408558,16746
506,790306,398494
1010,810902,419090
1511,2033193,1641381
2012,3575418,3183606
2517,3941006,3549194
3033,2674950,2283138
3537,387370,0
4055,71621,0
4567,58432,0
5018,75306,0
5512,196992,0
6036,41001,0
6542,45287,0
7050,44886,0
7558,47029,0
8056,455222,63410
8578,26644,0
9018,320336,0
9540,22156,0
10046,32223,0
10555,43069,0
11038,669622,277810
11541,241740,0
12050,115604,0
12547,74805,0
13065,22643,0
13563,32223,0
14071,32223,0
14569,20030,0
15073,20901,0
15576,26127,0
16076,25256,0
16534,38537,0
17040,28740,0
17544,33094,0
18050,32223,0
18553,34836,0
19057,26998,0
19561,22643,0
20068,67737,0
20578,29611,0
21080,27869,0
21587,35190,0
22044,35707,0
22547,35707,0
23053,31352,0
23557,36578,0
24062,37449,0
24568,25256,0
25079,32223,0
25590,24385,0
26103,41438,0
26559,78582,0
27069,29611,0
27574,40400,0
28075,54535,0
28592,25256,0
29095,48771,0
29606,40964,0
30111,55738,0
30573,37449,0
31079,50269,0
31564,939282,547470
32093,25726,0
32578,681158,289346
33101,19194,0
33607,77358,0
34113,146935,0
34573,37223,0
35086,41803,0
35595,43545,0
36097,39191,0
36595,309194,0
,,
,,
,,
