Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
22,1401479,726021
496,1058227,382769
997,1358517,683059
1506,2266283,1590825
2010,4415908,3740450
2501,4296747,3621289
3003,4156523,3481065
3506,1929789,1254331
4012,2778367,2102909
4518,1428580,753122
5024,997816,322358
5560,35186,0
6060,50982,0
6520,46181,0
7029,51668,0
7537,59692,0
8038,353194,0
8551,40531,0
9040,584284,0
9565,75294,0
10018,83225,0
10526,47568,0
11034,57217,0
11541,40554,0
12052,61972,0
12537,701106,25648
13036,971579,296121
13539,483917,0
14040,58909,0
14556,12192,0
15055,50220,0
15560,26998,0
16066,21772,0
16570,17418,0
17072,19160,0
17523,31352,0
18030,51383,0
18537,13934,0
19040,17418,0
19531,609457,0
20053,21636,0
20556,30481,0
21063,33965,0
21567,28740,0
22073,25256,0
22577,26998,0
23036,29611,0
23540,34836,0
24037,114670,0
24551,26127,0
25051,48452,0
25561,33094,0
26066,24385,0
26558,315484,0
27092,30987,0
27546,36578,0
28056,35506,0
28563,32894,0
29072,59141,0
29583,40061,0
30099,35725,0
30600,63514,0
31059,39191,0
31570,61841,0
32068,154310,0
32584,30481,0
33094,30481,0
33606,29230,0
34108,43144,0
34571,45995,0
35061,154310,0
35579,25256,0
36088,26481,0
36575,735875,60417
,,
,,
,,
