Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
462,1726176,971021
971,2572160,1817005
1468,4550377,3795222
1969,4313580,3558425
2474,1107760,352605
2979,1113951,358796
3487,1324045,568890
4018,186359,0
4507,981361,226206
5012,533493,0
5530,84604,0
6049,42674,0
6496,57560,0
7007,26998,0
7523,51767,0
8027,34836,0
8538,68338,0
9041,190212,0
9480,365674,0
10003,62585,0
10489,501906,0
11022,39202,0
11499,782748,27593
12001,133221,0
12511,61870,0
13018,17418,0
13526,33965,0
14026,39191,0
14526,20030,0
15029,47900,0
15533,22643,0
16033,20901,0
16539,28740,0
17043,21772,0
17500,30481,0
18006,31352,0
18507,182552,0
19020,39191,0
19528,54535,0
20036,21772,0
20537,23514,0
21044,24385,0
21549,28985,0
22054,41202,0
22508,48439,0
23015,30481,0
23518,19160,0
24025,36578,0
24531,29210,0
25037,39260,0
25549,32223,0
26055,27668,0
26566,27869,0
27025,36660,0
27530,29611,0
28039,33965,0
28545,33564,0
29051,40531,0
29567,37048,0
30069,28539,0
30584,29611,0
31038,42974,0
31539,141874,0
32050,40932,0
32565,139829,0
33074,37850,0
33583,53125,0
34087,32023,0
34548,28740,0
35053,37449,0
35559,42674,0
36073,39861,0
36557,529406,0
,,
,,
