Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,273589,0
496,505884,21816
994,1276540,792472
1498,2052855,1568787
1994,3459260,2975192
2496,3860960,3376892
2997,3572187,3088119
3501,1566780,1082712
4005,1684330,1200262
4513,960692,476624
5022,79304,0
5527,43625,0
6036,28774,0
6541,54042,0
6999,60242,0
7506,63622,0
8012,54065,0
8519,45344,0
9024,67999,0
9530,103192,0
10041,48851,0
10549,33999,0
11007,36601,0
11514,58488,0
12018,471159,0
12517,1137823,653755
13020,847605,363537
13518,873189,389121
14023,926756,442688
14521,994145,510077
15031,415548,0
15531,20053,0
16033,28797,0
16537,34011,0
17039,15699,0
17545,39225,0
18052,43580,0
18556,37472,0
19062,44462,0
19517,33129,0
20022,451559,0
20528,18300,0
21031,37449,0
21537,37483,0
22040,31375,0
22546,34011,0
23053,39259,0
23558,72457,0
24062,45356,0
24567,35741,0
25071,29633,0
25526,42720,0
26032,36601,0
26545,33117,0
27054,40096,0
27565,27903,0
28074,36601,0
28530,40967,0
29037,61446,0
29544,38366,0
30054,27892,0
30561,38343,0
31061,738869,254801
31563,637327,153259
32071,512208,28140
32574,1139522,655454
33084,1101045,616977
33536,1084340,600272
34042,1124874,640806
34546,1613882,1129814
35055,1624333,1140265
35562,1097561,613493
36063,1101045,616977
36567,1312818,828750
,,
,,
