Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
66,2330975,1235029
539,2293788,1197842
995,3117294,2021348
1496,4060134,2964188
1997,3059462,1963516
2513,1195241,99295
3029,159119,0
3543,29611,0
4056,44416,0
4542,403947,0
5047,867424,0
5551,645391,0
6068,60654,0
6524,41803,0
7034,39191,0
7536,42485,0
8056,36687,0
8561,56088,0
9068,31822,0
9579,33094,0
10087,83914,0
10527,188895,0
11039,377850,0
11557,161276,0
12037,623707,0
12540,103871,0
13042,30467,0
13557,19160,0
14059,20030,0
14561,26127,0
15048,372844,0
15567,21772,0
16069,19160,0
16573,23514,0
17072,45847,0
17583,26127,0
18037,40932,0
18543,20901,0
19050,40061,0
19556,45750,0
20064,37150,0
20567,64971,0
21071,29611,0
21577,31352,0
22081,26127,0
22587,22643,0
23096,34836,0
23556,50131,0
24055,36578,0
24557,56909,0
25063,27869,0
25567,26998,0
26085,31352,0
26583,50111,0
27095,37101,0
27603,37048,0
28060,44015,0
28568,28740,0
29077,37449,0
29587,34636,0
30100,19160,0
30602,43807,0
31109,63604,0
31609,120197,0
32116,121840,0
32571,67060,0
33078,56208,0
33569,405031,0
34099,24185,0
34600,32851,0
35107,48840,0
35617,33094,0
36127,33163,0
36576,444760,0
,,
,,
,,
