Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
26,1165185,543376
496,875583,253774
987,1251253,629444
1491,1110153,488344
2003,2472747,1850938
2499,3285350,2663541
3004,2710154,2088345
3507,3178581,2556772
4011,1894262,1272453
4513,1627263,1005454
5019,715283,93474
5543,42142,0
6052,27869,0
6546,202698,0
7060,32485,0
7519,46866,0
8009,462392,0
8532,43826,0
9040,60694,0
9551,68011,0
10048,246686,0
10567,67468,0
10993,1087350,465541
11497,942127,320318
11998,957649,335840
12502,715399,93590
13003,782979,161170
13506,852927,231118
14008,1051936,430127
14509,945511,323702
15029,72285,0
15528,34836,0
16033,25256,0
16543,44416,0
17059,48313,0
17556,30481,0
18063,33693,0
18567,36377,0
19071,29611,0
19527,29611,0
20033,44084,0
20535,28740,0
21045,35707,0
21541,187142,0
22054,56878,0
22557,23514,0
23061,66189,0
23570,37919,0
24073,52667,0
24581,40061,0
25089,32223,0
25540,43144,0
26049,36578,0
26556,45287,0
27067,37919,0
27573,41578,0
28081,40061,0
28588,29611,0
29046,49369,0
29551,46158,0
30062,51522,0
30571,56146,0
31081,36716,0
31586,38320,0
32100,48226,0
32556,35707,0
33064,30726,0
33571,48771,0
34072,45287,0
34584,32120,0
35092,77518,0
35602,48708,0
36060,26127,0
36565,52192,0
37071,821589,199780
,,
,,
