Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
34,586722,0
496,690464,66569
1004,1473293,849398
1494,2864926,2241031
1996,3978826,3354931
2497,2485486,1861591
3001,1864291,1240396
3504,1729534,1105639
4006,1320004,696109
4511,1272336,648441
5014,1515259,891364
5517,2599964,1976069
6019,1591149,967254
6525,1127172,503277
7029,1157098,533203
7555,1220416,596521
8052,1344955,721060
8515,134804,0
9019,83414,0
9525,69184,0
10030,56749,0
10519,713189,89294
11026,960321,336426
11523,703809,79914
12025,485297,0
12528,103519,0
13046,13934,0
13544,95167,0
14047,161083,0
14558,84478,0
15057,323314,0
15559,29611,0
16057,131950,0
16514,123900,0
17011,606223,0
17528,140161,0
18031,26998,0
18538,58489,0
19044,31352,0
19547,98016,0
20046,202187,0
20554,118498,0
21060,386555,0
21568,47900,0
22077,25926,0
22522,127429,0
23023,207493,0
23530,137749,0
24037,36578,0
24539,59141,0
25047,39529,0
25550,113978,0
26052,306620,0
26566,158250,0
27080,398291,0
27586,52724,0
28039,41803,0
28538,436956,0
29036,306789,0
29552,98424,0
30059,73363,0
30565,41803,0
31077,34074,0
31569,1096553,472658
32073,239052,0
32564,1202547,578652
33076,409583,0
33550,58374,0
34071,67809,0
34563,92752,0
35060,239156,0
35572,105380,0
36083,26127,0
36567,627304,3409
37084,805082,181187
,,
,,
