Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
25,1735846,1219785
493,1545435,1029374
1008,1005556,489495
1504,1714860,1198799
2000,3437598,2921537
2514,2873966,2357905
3018,2341344,1825283
3536,2302729,1786668
4028,955402,439341
4546,28534,0
5028,1218575,702514
5538,1098867,582806
6058,1221125,705064
6566,548854,32793
7022,34847,0
7532,29210,0
8014,1003656,487595
8519,1293182,777121
9043,105879,0
9547,1165503,649442
10067,28740,0
10571,24385,0
11020,193205,0
11514,1695659,1179598
12010,394046,0
12514,165234,0
13017,93272,0
13536,16547,0
14027,1301136,785075
14521,1415690,899629
15037,53125,0
15541,22643,0
16041,17418,0
16545,27869,0
17050,141247,0
17545,862636,346575
18048,2166385,1650324
18561,712319,196258
19065,20901,0
19573,20901,0
20059,1473375,957314
20566,540421,24360
21032,5543461,5027400
21538,818705,302644
22044,18289,0
22550,15676,0
23052,115831,0
23539,857765,341704
24047,335882,0
24564,669555,153494
25059,220330,0
25559,559267,43206
26070,152466,0
26567,1225566,709505
27087,81826,0
27543,30621,0
28049,45260,0
28555,27869,0
29049,186350,0
29544,1535339,1019278
30064,54008,0
30567,60257,0
31084,44416,0
31591,62760,0
32086,1416015,899954
32580,2220411,1704350
33055,51280,0
33543,387185,0
34066,48651,0
34577,39925,0
35078,145453,0
35567,1444695,928634
36086,2513030,1996969
36585,1213333,697272
,,
,,
,,
