Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
30,497922,35895
500,856886,394859
995,1910422,1448395
1497,2933602,2471575
2001,1869221,1407194
2510,1600068,1138041
3034,393418,0
3545,219975,0
4046,68069,0
4546,95869,0
5052,259999,0
5559,144561,0
5995,713345,251318
6511,123820,0
7028,34836,0
7527,123222,0
8017,903274,441247
8539,426703,0
9051,429701,0
9558,28740,0
10022,35544,0
10526,91982,0
11026,228420,0
11543,90574,0
12033,324155,0
12527,260247,0
13030,162552,0
13534,299659,0
14048,476980,14953
14552,402844,0
15057,348640,0
15566,37954,0
16061,21772,0
16563,169948,0
17067,204120,0
17572,129721,0
18033,330605,0
18532,40061,0
19038,35326,0
19537,197352,0
20045,226799,0
20552,83607,0
21056,33965,0
21561,43545,0
22066,27869,0
22567,104393,0
23064,220320,0
23591,400618,0
24036,384231,0
24538,45757,0
25047,29611,0
25545,91457,0
26046,213839,0
26559,82748,0
27068,40061,0
27577,40932,0
28085,37048,0
28586,124338,0
29040,307338,0
29551,462016,0
30063,363658,0
30568,52323,0
31074,35707,0
31571,274825,0
32076,245553,0
32581,512214,50187
33093,49549,0
33601,42674,0
34061,42892,0
34543,989159,527132
35050,1494258,1032231
35552,1911445,1449418
36056,1369213,907186
36557,1606808,1144781
,,
,,
