Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
25,1133738,635719
504,1023101,525082
995,1543192,1045173
1496,2579711,2081692
2002,2986167,2488148
2504,3357171,2859152
3006,2185414,1687395
3514,1798247,1300228
4028,1396732,898713
4539,566280,68261
5047,791680,293661
5542,1173442,675423
6017,50234,0
6515,112046,0
7037,82743,0
7543,327935,0
8037,1212046,714027
8530,1564374,1066355
9060,1479664,981645
9564,704977,206958
10073,39002,0
10522,282578,0
11024,525312,27293
11516,959531,461512
12018,3289124,2791105
12518,848551,350532
13023,43228,0
13528,598624,100605
14031,1138134,640115
14540,267987,0
15045,5014503,4516484
15549,730597,232578
16050,38188,0
16548,478437,0
17046,825292,327273
17546,454605,0
18070,3530086,3032067
18575,684967,186948
19079,38320,0
19566,673831,175812
20066,1172231,674212
20518,827843,329824
21041,28763,0
21547,30726,0
22053,27869,0
22541,359064,0
23053,294369,0
23551,995513,497494
24069,4701135,4203116
24572,688613,190594
25069,356556,0
25567,899611,401592
26076,448246,0
26573,1195968,697949
27048,2193884,1695865
27554,667813,169794
28061,59892,0
28557,500758,2739
29067,522090,24071
29558,1229592,731573
30082,4877043,4379024
30589,714152,216133
31101,33965,0
31589,820897,322878
32039,1336987,838968
32545,295373,0
33067,2422606,1924587
33580,745472,247453
34091,51252,0
34583,457324,0
35092,845558,347539
35583,614628,116609
36107,45086,0
36560,152229,0
,,
,,
