Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
56,454013,0
510,430908,0
1014,1305223,599673
1504,2713679,2008129
2011,4451506,3745956
2511,4883507,4177957
3013,2533697,1828147
3514,2977078,2271528
4017,1030040,324490
4524,2030338,1324788
5030,2029388,1323838
5553,589923,0
6048,866080,160530
6497,218875,0
7026,38331,0
7530,47768,0
8025,1450535,744985
8527,584735,0
9053,41660,0
9560,47900,0
10064,172872,0
10521,68916,0
11027,83826,0
11519,509076,0
12009,275208,0
12513,196332,0
13016,75078,0
13536,51441,0
14035,68034,0
14540,28539,0
15041,26998,0
15544,33564,0
16045,29719,0
16551,30808,0
17054,75105,0
17559,19160,0
18066,32223,0
18571,50250,0
19076,31352,0
19531,55676,0
20035,33094,0
20540,58489,0
21046,27869,0
21550,30481,0
22047,80597,0
22559,35707,0
23063,196853,0
23569,31352,0
24073,42674,0
24580,43545,0
25082,40061,0
25552,61261,0
26046,36578,0
26553,32223,0
27062,63113,0
27574,29828,0
28077,48771,0
28585,50512,0
29093,46967,0
29548,54604,0
30058,34836,0
30574,47116,0
31077,39191,0
31559,946452,240902
32087,35506,0
32574,670325,0
33099,40131,0
33556,39762,0
34065,49441,0
34571,36578,0
35076,72900,0
35589,42073,0
36096,29410,0
36598,120199,0
,,
,,
,,
