Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
52,550708,54994
503,764469,268755
1005,1363997,868283
1510,3433866,2938152
2012,3600954,3105240
2521,4555959,4060245
3013,5329687,4833973
3515,3126111,2630397
4019,2160892,1665178
4521,1839345,1343631
5024,1913738,1418024
5536,576467,80753
6065,164266,0
6569,135462,0
7024,52254,0
7533,41826,0
8012,1553473,1057759
8540,703984,208270
9046,49252,0
9552,31352,0
10047,120413,0
10565,71198,0
11023,47029,0
11504,858936,363222
12009,231766,0
12514,101951,0
13017,91519,0
13534,30516,0
14037,83471,0
14546,46158,0
15045,48238,0
15548,32223,0
16048,34836,0
16559,38293,0
17060,42414,0
17568,37449,0
18065,58320,0
18567,167486,0
19079,41803,0
19581,48840,0
20035,30481,0
20546,33094,0
21049,31352,0
21552,47274,0
22057,40932,0
22562,60500,0
23068,30481,0
23573,29611,0
24084,40932,0
24569,745689,249975
25065,878258,382544
25572,688329,192615
26046,39213,0
26553,40061,0
27055,46866,0
27563,42743,0
28071,47768,0
28581,26127,0
29089,30481,0
29597,32972,0
30108,46621,0
30573,40660,0
31072,41803,0
31570,625096,129382
32077,50851,0
32588,79591,0
33091,43614,0
33600,60162,0
34110,35306,0
34612,38320,0
35074,63604,0
35580,57148,0
36087,39661,0
36591,477456,0
,,
,,
