Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
48,439091,20377
502,925148,506434
1002,1520386,1101672
1504,2668395,2249681
2007,4148999,3730285
2511,4581908,4163194
3012,2160455,1741741
3520,2494098,2075384
4019,845018,426304
4523,1994326,1575612
5029,2231532,1812818
5539,457926,39212
6050,526530,107816
6556,65329,0
7012,71414,0
7504,468778,50064
8006,1085154,666440
8530,381110,0
9036,47900,0
9542,66189,0
10042,66189,0
10545,47900,0
11051,58351,0
11563,96602,0
12073,98851,0
12552,701483,282769
13052,184254,0
13507,201506,0
14030,49937,0
14526,53125,0
15033,92491,0
15536,61834,0
16036,77060,0
16537,59222,0
17051,63495,0
17544,98196,0
18054,52254,0
18563,63576,0
19065,112893,0
19573,62705,0
20079,70163,0
20536,55738,0
21039,68802,0
21543,110951,0
22050,70979,0
22556,139898,0
23063,76314,0
23567,83296,0
24076,73156,0
24576,70517,0
25082,146865,0
25539,59222,0
26044,81029,0
26551,93467,0
27057,73864,0
27560,110958,0
28065,118658,0
28574,79252,0
29083,88806,0
29584,119128,0
30093,78818,0
30594,105656,0
31049,111627,0
31540,1265443,846729
32062,64458,0
32557,217837,0
33074,102574,0
33570,123120,0
34086,94945,0
34588,154234,0
35075,625286,206572
35605,75593,0
36106,104716,0
36560,181039,0
37066,767919,349205
,,
,,
,,
