Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
51,428297,0
502,759873,227507
1005,1904634,1372268
1506,2365662,1833296
2011,3028969,2496603
2501,2865301,2332935
3008,3734509,3202143
3513,2489899,1957533
4020,1708079,1175713
4524,873205,340839
5038,1437353,904987
5539,744557,212191
6045,909251,376885
6535,1125535,593169
7055,711914,179548
7543,834210,301844
7997,1679662,1147296
8499,773620,241254
9005,1312912,780546
9523,518338,0
10020,998249,465883
10514,1532715,1000349
11022,1060646,528280
11525,854822,322456
12032,850161,317795
12526,1759017,1226651
13025,877666,345300
13532,1043872,511506
14031,897896,365530
14544,742390,210024
15042,613967,81601
15541,902193,369827
16052,582519,50153
16554,647710,115344
17055,614277,81911
17551,868185,335819
18077,635198,102832
18506,1146897,614531
19011,780304,247938
19512,1110516,578150
20023,879139,346773
20528,839930,307564
21027,943736,411370
21534,835352,302986
22035,775086,242720
22542,646631,114265
23045,531439,0
23547,927052,394686
24039,876715,344349
24553,756269,223903
25055,579087,46721
25550,1552457,1020091
26053,841684,309318
26567,535777,3411
27071,633923,101557
27525,861044,328678
28026,822124,289758
28539,855518,323152
29032,785416,253050
29535,1046932,514566
30057,509476,0
30543,916974,384608
31053,823673,291307
31547,1806048,1273682
32059,870183,337817
32572,623539,91173
33069,713763,181397
33574,1105276,572910
34074,838177,305811
34583,660253,127887
35077,739615,207249
35541,810920,278554
36038,821646,289280
36539,609078,76712
,,
,,
