Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,746658,338199
494,1561862,1153403
995,2027835,1619376
1502,2107072,1698613
1995,3108903,2700444
2498,2901144,2492685
2998,3571686,3163227
3504,4584965,4176506
4010,3027954,2619495
4510,2179194,1770735
5013,3678452,3269993
5516,4876191,4467732
6018,4006363,3597904
6527,5412137,5003678
7035,2983576,2575117
7538,2758825,2350366
7995,2552959,2144500
8500,2788936,2380477
9004,2739550,2331091
9501,2249825,1841366
10014,2201817,1793358
10513,2367572,1959113
11016,2893345,2484886
11512,3581401,3172942
12013,1610632,1202173
12517,2083842,1675383
13020,1529779,1121320
13531,2177375,1768916
14039,1607366,1198907
14538,1878470,1470011
15039,2099257,1690798
15543,2383192,1974733
16043,1994505,1586046
16548,2324196,1915737
17046,1962866,1554407
17548,2566866,2158407
18006,2291610,1883151
18512,1510397,1101938
19017,1748453,1339994
19520,2359484,1951025
20028,2261779,1853320
20529,2143525,1735066
21025,2969860,2561401
21523,1839635,1431176
22029,1560386,1151927
22529,1902391,1493932
23041,1410934,1002475
23540,1577132,1168673
24038,2565361,2156902
24543,2165303,1756844
25045,2058228,1649769
25547,2431499,2023040
26050,2210837,1802378
26554,2251989,1843530
27062,3035735,2627276
27522,1515002,1106543
28020,1436390,1027931
28532,1644280,1235821
29043,1822649,1414190
29526,2360965,1952506
30030,1862679,1454220
30533,2534746,2126287
31035,2399653,1991194
31540,2558033,2149574
32036,2998226,2589767
32542,1703746,1295287
33048,2221978,1813519
33547,1853792,1445333
34052,1984147,1575688
34556,2570205,2161746
35057,1930078,1521619
35561,2377572,1969113
36063,2854981,2446522
36566,3162186,2753727
,,
,,
