Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
44,374310,0
496,828873,421980
1000,1735733,1328840
1513,1722286,1315393
2007,1714453,1307560
2509,2044891,1637998
3018,2319237,1912344
3509,2654055,2247162
4017,2272727,1865834
4524,822565,415672
5026,766362,359469
5543,561111,154218
6046,1020542,613649
6549,855257,448364
7050,771635,364742
7558,778843,371950
8018,723854,316961
8519,874842,467949
9024,598630,191737
9534,958896,552003
10029,672874,265981
10525,1358081,951188
11026,1446157,1039264
11527,980400,573507
12028,702161,295268
12538,942165,535272
13052,585507,178614
13546,590525,183632
14056,567584,160691
14547,1142231,735338
15059,627716,220823
15561,589021,182128
16069,488264,81371
16565,1415284,1008391
17016,553381,146488
17518,603601,196708
18034,501625,94732
18531,574464,167571
19025,1192374,785481
19528,1072412,665519
20034,660258,253365
20543,477076,70183
21038,1210305,803412
21543,990604,583711
22051,576942,170049
22555,594158,187265
23055,1159125,752232
23563,652084,245191
24059,575864,168971
24563,653040,246147
25061,1234958,828065
25571,539821,132928
26077,567940,161047
26523,1122253,715360
27028,1150149,743256
27532,1399091,992198
28035,1866586,1459693
28547,595657,188764
29043,1456295,1049402
29548,1370410,963517
30057,753031,346138
30560,577171,170278
31057,1261919,855026
31559,1707248,1300355
32070,643403,236510
32570,700926,294033
33074,1405313,998420
33576,1312088,905195
34076,1033997,627104
34535,605625,198732
35029,1479229,1072336
35538,1223765,816872
36047,665973,259080
36545,1381088,974195
,,
,,
