Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
71,947121,535395
494,876595,464869
1000,1319487,907761
1498,1781066,1369340
1993,2924582,2512856
2495,2272338,1860612
2998,1739895,1328169
3500,2497902,2086176
4003,2787176,2375450
4508,2274633,1862907
5015,2376259,1964533
5522,2526939,2115213
6030,2330106,1918380
6520,5447462,5035736
7021,5819507,5407781
7529,6621834,6210108
8032,5855617,5443891
8534,5083404,4671678
9039,5023976,4612250
9543,4451191,4039465
10044,3356473,2944747
10548,3529300,3117574
11055,3351487,2939761
11508,4965421,4553695
12002,4802603,4390877
12509,5382746,4971020
13016,3179770,2768044
13521,3093231,2681505
14022,3040162,2628436
14530,2886027,2474301
15023,2165635,1753909
15527,3006346,2594620
16027,3300822,2889096
16530,2566358,2154632
17030,2868242,2456516
17535,2587646,2175920
18035,2918663,2506937
18540,2569865,2158139
19040,2884684,2472958
19550,2511374,2099648
20054,2539211,2127485
20552,3144503,2732777
21061,3023756,2612030
21562,2616977,2205251
22063,2810376,2398650
22513,2889671,2477945
23018,2731840,2320114
23517,3121406,2709680
24020,4454494,4042768
24517,4533038,4121312
25023,5281320,4869594
25527,4616893,4205167
26030,4666141,4254415
26531,3398797,2987071
27038,3120604,2708878
27537,3535250,3123524
28045,4905966,4494240
28547,5403385,4991659
29052,4042417,3630691
29551,3551914,3140188
30054,4065227,3653501
30558,5260720,4848994
31057,4378889,3967163
31567,3538025,3126299
32062,3848583,3436857
32568,4355226,3943500
33068,4665924,4254198
33572,4549353,4137627
34026,4902201,4490475
34533,4247588,3835862
35031,4250076,3838350
35535,4363928,3952202
36035,4330500,3918774
36540,5907752,5496026
,,
,,
