Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
33,1436051,842805
484,923097,329851
991,1839015,1245769
1484,2869071,2275825
1986,4104069,3510823
2489,3429045,2835799
3000,2030636,1437390
3521,346384,0
4015,111913,0
4528,82227,0
5034,69672,0
5533,94150,0
6039,88913,0
6544,70543,0
7045,89703,0
7492,328543,0
7993,623798,30552
8517,46158,0
9022,61834,0
9523,62601,0
10039,126770,0
10538,113819,0
11016,928538,335292
11523,646069,52823
12029,168350,0
12532,254337,0
13045,81458,0
13550,71850,0
14053,71469,0
14556,72531,0
15014,65318,0
15511,79227,0
16013,92617,0
16523,69781,0
17023,78247,0
17529,63576,0
18034,77511,0
18542,63576,0
19047,67060,0
19552,79280,0
20055,67060,0
20562,72285,0
21015,91501,0
21523,66298,0
22024,87038,0
22529,69999,0
23033,74898,0
23537,75769,0
24041,80396,0
24548,80994,0
25060,94849,0
25565,69591,0
26064,111734,0
26576,93467,0
27081,87853,0
27534,87146,0
28029,315187,0
28542,76909,0
29047,75167,0
29553,93726,0
30060,70056,0
30565,100694,0
31068,77511,0
31571,671370,78124
32079,84483,0
32575,540318,0
33083,153900,0
33540,102626,0
34054,85513,0
34554,103375,0
35058,92617,0
35564,126634,0
36071,91445,0
36564,381481,0
,,
,,
