Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
31,514368,0
496,517154,0
1003,1012224,304108
1496,2100576,1392460
1990,4023903,3315787
2491,3439861,2731745
2993,4600941,3892825
3497,1744976,1036860
4000,1535135,827019
4509,1720474,1012358
5012,208183,0
5533,58306,0
6046,57480,0
6542,61846,0
7045,67106,0
7501,54867,0
7993,587947,0
8514,62763,0
9005,437375,0
9522,56666,0
10027,66845,0
10537,63669,0
11036,98150,0
11518,1127441,419325
12027,222386,0
12544,173883,0
13063,51452,0
13509,85349,0
14016,39055,0
14517,61807,0
15029,49641,0
15528,56609,0
16033,43545,0
16522,501906,0
17053,43557,0
17546,50512,0
18036,314181,0
18557,47029,0
19065,41803,0
19564,45287,0
20026,49260,0
20528,78921,0
21038,53996,0
21539,105357,0
22050,60092,0
22552,61433,0
23063,66451,0
23564,71088,0
24065,127028,0
24572,69672,0
25060,838901,130785
25583,56007,0
26087,58813,0
26543,54486,0
27049,49641,0
27547,67931,0
28051,48771,0
28555,53996,0
29064,49016,0
29566,52254,0
30069,69184,0
30581,66527,0
31082,45287,0
31590,45086,0
32042,73294,0
32550,40932,0
33055,52254,0
33557,56609,0
34063,43144,0
34571,50512,0
35075,58821,0
35580,45287,0
36084,52254,0
36581,167339,0
,,
,,
,,
