Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
53,379897,0
516,435579,0
1007,1742659,1215105
1510,2573128,2045574
2012,3273616,2746062
2514,3892785,3365231
3022,1821840,1294286
3533,999899,472345
4041,74898,0
4543,66189,0
5049,62705,0
5556,94069,0
6014,79097,0
6520,69672,0
7026,55756,0
7518,315187,0
8037,74289,0
8543,62705,0
9048,75769,0
9552,69185,0
10052,291172,0
10516,146066,0
11031,159059,0
11508,645262,117708
12008,226271,0
12515,184618,0
13031,60127,0
13534,63332,0
14037,79335,0
14543,67931,0
15041,69185,0
15548,71798,0
16052,60963,0
16554,91501,0
17063,87048,0
17564,93379,0
18072,74898,0
18524,79227,0
19035,87091,0
19539,81458,0
20042,58351,0
20552,62923,0
21053,68747,0
21559,97210,0
22067,64447,0
22566,71083,0
23070,73647,0
23576,61834,0
24079,60963,0
24533,112824,0
25043,60963,0
25547,105587,0
26035,824560,297006
26554,60345,0
27058,87091,0
27561,55738,0
28066,63576,0
28578,60963,0
29080,81458,0
29584,67931,0
30088,70192,0
30546,93726,0
31047,75879,0
31556,105490,0
32059,60963,0
32553,186978,0
33069,73728,0
33572,84806,0
34076,90278,0
34587,66189,0
35089,67931,0
35595,67659,0
36098,90312,0
36598,491369,0
,,
,,
