Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
20,928564,509707
487,1963757,1544900
984,1535020,1116163
1485,2209509,1790652
1987,4005243,3586386
2490,2473334,2054477
2992,3217381,2798524
3496,2537310,2118453
3999,2001697,1582840
4508,140130,0
5012,783136,364279
5536,65536,0
6035,41803,0
6541,54878,0
7049,48771,0
7551,47029,0
8040,566437,147580
8511,47029,0
9014,52254,0
9502,670168,251311
10022,60894,0
10530,62705,0
11033,60092,0
11535,62705,0
12052,89916,0
12559,119729,0
13039,720067,301210
13543,212695,0
14045,196792,0
14511,25256,0
15015,42674,0
15516,52254,0
16018,44069,0
16521,37449,0
17023,37449,0
17527,43545,0
18015,487566,68709
18538,41803,0
19044,69856,0
19548,41803,0
20040,401525,0
20555,40061,0
21062,40932,0
21566,57480,0
22020,55929,0
22526,43545,0
23030,43545,0
23534,48771,0
24031,291161,0
24544,39191,0
25051,41803,0
25555,54867,0
26059,57480,0
26566,42674,0
27074,53996,0
27582,48771,0
28035,60963,0
28537,96415,0
29045,55738,0
29556,60127,0
30059,56609,0
30562,121070,0
31067,47900,0
31579,58242,0
32080,142041,0
32588,48199,0
33022,788710,369853
33551,59249,0
34047,54867,0
34559,51383,0
35060,47029,0
35569,124153,0
36076,40932,0
36564,764262,345405
,,
,,
