Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,619859,0
474,1093047,22779
979,242425,0
1473,3119851,2049583
1975,2238571,1168303
2477,3498897,2428629
2988,1105383,35115
3520,243646,0
4002,806557,0
4502,1170478,100210
5007,838901,0
5530,25926,0
6035,80262,0
6522,534093,0
7000,21795,0
7483,352597,0
8014,58351,0
8498,365674,0
9030,68269,0
9534,32223,0
10040,57961,0
10494,37177,0
10998,49641,0
11481,600725,0
11987,730947,0
12488,948233,0
12992,745375,0
13493,886553,0
14013,100516,0
14520,37518,0
15013,24385,0
15521,26127,0
16022,28740,0
16527,26127,0
17029,47029,0
17516,351334,0
18034,32223,0
18542,27009,0
19043,48988,0
19547,29611,0
19994,141177,0
20508,29611,0
21014,39191,0
21518,33094,0
22024,20901,0
22531,22643,0
23024,236404,0
23531,928448,0
24027,831730,0
24530,846071,0
25035,846071,0
25561,96339,0
26066,25256,0
26519,31352,0
27036,26797,0
27545,36461,0
28044,27869,0
28554,30481,0
29066,30493,0
29525,29611,0
30033,39730,0
30546,33094,0
31053,26998,0
31547,418609,0
32044,863917,0
32572,31570,0
33051,623798,0
33586,15676,0
34036,74520,0
34550,28740,0
35056,54673,0
35568,35976,0
36076,41803,0
36585,94616,0
37024,803257,0
37516,704932,0
,,
,,
