Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
19,1148594,654465
494,613850,119721
988,1511140,1017011
1490,2068958,1574829
1993,4249263,3755134
2495,3891933,3397804
2998,2562963,2068834
3509,1235928,741799
4015,536999,42870
4521,181390,0
5026,71632,0
5533,33152,0
6043,33129,0
6500,54076,0
7003,56632,0
7513,41872,0
8016,96680,0
8528,38366,0
9031,562303,68174
9537,296259,0
10044,34905,0
10501,58488,0
11007,39259,0
11508,925114,430985
12014,147532,0
12514,79130,0
13016,80337,0
13519,97412,0
14023,39236,0
14526,26196,0
15030,39271,0
15531,33140,0
16034,20936,0
16539,34882,0
17043,38343,0
17548,31387,0
18052,48805,0
18507,31398,0
19012,36601,0
19518,32258,0
20024,29645,0
20530,54042,0
21036,27892,0
21540,40967,0
22046,31398,0
22550,35741,0
23058,26150,0
23563,37483,0
24020,55864,0
24523,213161,0
25021,878797,384668
25522,1126748,632619
26031,1113381,619252
26534,1101045,606916
27043,1105557,611428
27546,1100174,606045
28054,1109911,615782
28558,610452,116323
29064,540549,46420
29571,1125011,630882
30025,1092178,598049
30530,1102944,608815
31036,1108883,614754
31552,1300836,806707
32062,944591,450462
32568,83882,0
33074,36624,0
33579,43199,0
34035,28763,0
34541,30504,0
35050,51441,0
35558,43568,0
36065,32246,0
36571,192627,0
,,
,,
