Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
24,122533,0
484,786202,288246
987,1635693,1137737
1482,2570865,2072909
1991,1812844,1314888
2511,425643,0
3023,296601,0
3530,51452,0
4034,110041,0
4547,65256,0
5006,31352,0
5517,58949,0
6019,216218,0
6532,54266,0
7039,27869,0
7528,552097,54141
8035,194493,0
8557,22643,0
9020,66159,0
9527,59159,0
10038,27869,0
10543,60701,0
11055,31352,0
11560,93498,0
12064,237943,0
12547,372159,0
12999,180488,0
13501,38688,0
14017,20065,0
14520,26127,0
15024,21772,0
15525,27869,0
16027,15676,0
16531,29611,0
17033,29611,0
17539,54867,0
18051,30481,0
18551,26998,0
19053,33094,0
19559,29611,0
20065,30493,0
20569,32223,0
21022,26998,0
21533,27869,0
22039,28740,0
22541,35707,0
23046,32223,0
23552,28740,0
24056,31352,0
24562,27869,0
25067,29611,0
25572,36578,0
26082,33965,0
26539,45043,0
27048,35544,0
27553,34836,0
28059,35707,0
28564,30481,0
29074,43815,0
29581,33965,0
30091,26127,0
30600,51052,0
31057,48969,0
31557,1074226,576270
32069,18289,0
32556,533703,35747
33084,22655,0
33589,65124,0
34097,32023,0
34607,39661,0
35064,41001,0
35568,37449,0
36078,30081,0
36572,757386,259430
,,
,,
