Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
39,1095744,449378
500,494416,0
1008,1128651,482285
1508,1448844,802478
2002,2806803,2160437
2504,2111240,1464874
3008,3032047,2385681
3511,2684661,2038295
4021,1805295,1158929
4527,628832,0
5036,87343,0
5560,43545,0
6012,40061,0
6519,80531,0
7022,53561,0
7539,45287,0
8044,69811,0
8560,33564,0
9049,477656,0
9525,54936,0
10028,40061,0
10537,44416,0
11045,55738,0
11559,65335,0
12034,785490,139124
12537,100617,0
13040,71844,0
13556,14805,0
14056,43545,0
14559,19160,0
15059,81607,0
15565,25256,0
16069,17418,0
16571,18289,0
17026,37449,0
17535,26998,0
18040,36578,0
18546,40932,0
19052,27869,0
19560,37048,0
20069,42755,0
20570,52254,0
21061,501906,0
21578,22643,0
22034,26998,0
22538,25256,0
23044,26127,0
23551,32223,0
24055,54878,0
24561,26127,0
25066,56909,0
25574,36578,0
26081,17296,0
26591,38320,0
27048,34836,0
27555,38990,0
28067,26998,0
28569,26127,0
29079,32223,0
29589,29880,0
30109,35506,0
30604,60655,0
31066,39191,0
31582,48965,0
32068,141426,0
32584,47768,0
33090,38320,0
33605,33094,0
34109,38790,0
34566,34836,0
35063,114911,0
35587,32332,0
36090,46893,0
36593,453904,0
,,
,,
,,
