Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
87,1092254,576998
497,1157715,642459
1004,913565,398309
1499,1993025,1477769
2009,3431603,2916347
2499,3498897,2983641
3001,3160695,2645439
3503,4831810,4316554
4004,4805230,4289974
4507,2697320,2182064
5010,4084551,3569295
5517,3685201,3169945
6040,530336,15080
6536,1169305,654049
7038,756366,241110
7549,62717,0
8035,742026,226770
8552,97080,0
9041,1512923,997667
9553,1159110,643854
10045,1924675,1409419
10541,1459786,944530
11062,1187186,671930
11508,1892557,1377301
12001,1075991,560735
12503,850827,335571
13005,1272817,757561
13509,1130010,614754
14009,1132242,616986
14513,1289642,774386
15035,1118306,603050
15531,1483325,968069
16042,723296,208040
16527,560863,45607
17042,124553,0
17548,126360,0
18053,604041,88785
18550,246463,0
19061,59267,0
19557,233107,0
20070,60092,0
20564,226540,0
21023,89911,0
21526,645308,130052
22032,66352,0
22534,91798,0
23042,76640,0
23544,176627,0
24052,73358,0
24559,76940,0
25064,72285,0
25568,67060,0
26077,69672,0
26564,695499,180243
27083,64458,0
27539,67060,0
28035,134459,0
28544,70823,0
29048,69672,0
29555,75116,0
30059,149583,0
30564,62705,0
31067,116050,0
31566,680413,165157
32075,82255,0
32581,129780,0
33086,74844,0
33587,126981,0
34040,161179,0
34549,60963,0
35047,126360,0
35555,60092,0
36058,99822,0
36549,993999,478743
,,
,,
