Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
38,421969,0
509,599947,78308
1013,1039348,517709
1515,2167163,1645524
2015,2719636,2197997
2522,944636,422997
3022,2177629,1655990
3524,2977358,2455719
4029,1676045,1154406
4538,1626808,1105169
5043,1900573,1378934
5545,596370,74731
6048,1011117,489478
6552,429268,0
7056,426492,0
7507,439948,0
8013,1048587,526948
8524,308952,0
9029,336804,0
9528,469497,0
10031,351412,0
10530,1020957,499318
11031,1089458,567819
11542,368146,0
12043,449798,0
12540,525740,4101
13043,290970,0
13547,444314,0
14055,252307,0
14558,271385,0
15060,267563,0
15563,222060,0
16064,321767,0
16517,290154,0
17020,254185,0
17523,282852,0
18027,238140,0
18528,310109,0
19033,269474,0
19538,242846,0
20041,227466,0
20545,282852,0
21048,257990,0
21553,233586,0
22061,213840,0
22559,226800,0
23059,265652,0
23561,340420,0
24066,366068,0
24568,324099,0
25072,307777,0
25527,290497,0
26027,353548,0
26527,738077,216438
27034,351412,0
27536,479347,0
28041,366446,0
28544,387669,0
29049,396036,0
29549,486136,0
30053,337468,0
30557,348624,0
31066,395937,0
31558,1734848,1213209
32067,352848,0
32566,1054229,532590
33079,447437,0
33578,378267,0
34031,384880,0
34536,333425,0
35042,319435,0
35546,333425,0
36047,373081,0
36544,1167250,645611
,,
,,
,,
