Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
100,507439,0
505,211502,0
996,1635108,1097839
1487,3362252,2824983
1988,4387792,3850523
2490,1901083,1363814
3024,1452842,915573
3520,1474622,937353
4029,145095,0
4540,54334,0
5046,48471,0
5550,320787,0
6046,134735,0
6514,61373,0
7022,61302,0
7535,70681,0
8024,403278,0
8545,39472,0
9053,90381,0
9562,27869,0
10050,183472,0
10574,59812,0
11048,873571,336302
11502,265883,0
12005,172189,0
12511,148013,0
13026,24249,0
13529,25256,0
14035,24385,0
14532,26127,0
15037,31352,0
15539,24385,0
16043,31352,0
16547,44634,0
17056,37449,0
17561,28740,0
18067,41803,0
18559,397861,0
19024,51383,0
19531,58467,0
20036,32223,0
20543,39191,0
21048,44416,0
21560,29338,0
22060,36578,0
22566,30751,0
23070,38320,0
23579,37919,0
24081,47029,0
24532,33965,0
25053,38918,0
25567,38076,0
26059,45757,0
26549,731349,194080
27071,23314,0
27578,41001,0
28089,61502,0
28595,32223,0
29057,41402,0
29567,53263,0
30075,26127,0
30580,43345,0
31089,53509,0
31591,156508,0
32102,69352,0
32532,652478,115209
33062,55217,0
33571,83953,0
34082,31352,0
34591,38790,0
35099,27869,0
35608,63244,0
36062,38790,0
36563,226540,0
,,
,,
