Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,1825976,1239186
496,1288392,701602
991,2184561,1597771
1495,2364782,1777992
1998,3614000,3027210
2506,3710334,3123544
3009,2139962,1553172
3511,2317519,1730729
4013,1128001,541211
4529,194790,0
5034,80123,0
5534,191426,0
6034,302012,0
6546,128325,0
7049,100428,0
7549,219099,0
8048,240159,0
8558,148847,0
8999,803050,216260
9513,196060,0
10018,242313,0
10519,178599,0
11027,106007,0
11523,556857,0
12027,334699,0
12518,854054,267264
13024,547880,0
13527,302338,0
14042,20053,0
14545,33094,0
15047,29611,0
15550,34836,0
16053,26998,0
16556,28740,0
17059,28740,0
17570,33938,0
18021,74435,0
18528,34034,0
19038,30551,0
19543,52312,0
20046,39861,0
20556,29611,0
21058,60093,0
21563,32223,0
22065,32693,0
22574,34836,0
23077,34836,0
23584,37518,0
24038,40932,0
24543,37518,0
25051,67668,0
25555,40131,0
26062,41803,0
26579,86697,0
27078,70057,0
27585,50650,0
28093,48169,0
28549,29338,0
29054,71483,0
29563,29611,0
30073,30281,0
30582,38320,0
31097,39460,0
31585,1154385,567595
32058,45147,0
32538,659648,72858
33047,329446,0
33574,42978,0
34081,35707,0
34590,41287,0
35096,49641,0
35605,34836,0
36109,48667,0
36591,652321,65531
,,
,,
,,
