Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,982016,743970
497,944512,706466
1000,1167169,929123
1501,2745330,2507284
1997,4057388,3819342
2498,3564396,3326350
3001,4056402,3818356
3509,2313973,2075927
4014,1246184,1008138
4513,1068023,829977
5020,1835303,1597257
5520,1860563,1622517
6020,2146447,1908401
6521,3326094,3088048
7027,2678004,2439958
7530,2062343,1824297
8031,2235546,1997500
8548,1292701,1054655
9047,1225764,987718
9547,812019,573973
10045,1507406,1269360
10506,1184609,946563
11018,1139048,901002
11495,3324201,3086155
11996,3508675,3270629
12498,2607866,2369820
13001,1644751,1406705
13507,703968,465922
14010,804934,566888
14525,107362,0
15029,90306,0
15536,49968,0
16039,26998,0
16541,87187,0
17050,21772,0
17557,29422,0
18046,437375,199329
18565,20901,0
19022,38320,0
19514,153394,0
20013,623798,385752
20530,20901,0
21035,25256,0
21544,43685,0
22047,35707,0
22552,44416,0
23057,46158,0
23563,33965,0
24072,69776,0
24579,46158,0
25035,46648,0
25541,38320,0
26050,38119,0
26561,49711,0
27069,38320,0
27578,47029,0
28076,104646,0
28593,40932,0
29049,49342,0
29555,45587,0
30062,38320,0
30570,62443,0
31080,35707,0
31587,55005,0
32093,52793,0
32554,36578,0
33056,51052,0
33563,41803,0
34050,428643,190597
34575,41672,0
35084,37919,0
35595,49911,0
36099,33094,0
36593,453237,215191
37060,675552,437506
,,
,,
,,
