Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
38,679862,0
495,731927,0
996,1604458,546725
1501,2782018,1724285
1997,3404102,2346369
2499,4003921,2946188
3008,1936136,878403
3506,714455,0
4016,483109,0
4531,237790,0
5039,135976,0
5530,308620,0
6040,214373,0
6548,204883,0
7058,87962,0
7553,168480,0
7997,696700,0
8506,277944,0
9018,116050,0
9520,143743,0
10015,775281,0
10533,268653,0
11038,86601,0
11524,633090,0
12029,318620,0
12536,278767,0
13041,336039,0
13557,74988,0
14055,50651,0
14557,37541,0
15070,65325,0
15566,21772,0
16066,30481,0
16575,28740,0
17031,38320,0
17538,47982,0
18039,36578,0
18531,351267,0
19049,92489,0
19553,56816,0
20059,98392,0
20563,36578,0
21073,30951,0
21572,33094,0
22079,46594,0
22583,33094,0
23037,42674,0
23544,31352,0
24051,41803,0
24556,36578,0
25049,299220,0
25551,932112,0
26058,826314,0
26560,889091,0
27084,42073,0
27590,66659,0
28098,66189,0
28550,55501,0
29057,39191,0
29569,26797,0
30074,38947,0
30581,39191,0
31083,149817,0
31596,74148,0
32104,53865,0
32604,117591,0
33064,59141,0
33576,42674,0
34085,38320,0
34587,57417,0
35095,42403,0
35601,55676,0
36108,40932,0
36612,123165,0
,,
,,
,,
