Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
36,398903,33587
498,530376,165060
1001,1231515,866199
1505,1688736,1323420
1996,3309771,2944455
2500,3272539,2907223
3001,3505420,3140104
3505,3136340,2771024
4009,2025082,1659766
4517,499396,134080
5045,112835,0
5536,817390,452074
6052,39472,0
6554,200275,0
7019,52724,0
7529,39381,0
8025,99159,0
8542,29009,0
9030,566437,201121
9559,40220,0
10056,71622,0
10571,26481,0
11075,35707,0
11557,505413,140097
12009,428461,63145
12513,329899,0
13017,112370,0
13518,89766,0
14035,33094,0
14536,19160,0
15036,26797,0
15543,28740,0
16043,20030,0
16543,22643,0
17050,23514,0
17555,33965,0
18060,45080,0
18566,29722,0
19072,26127,0
19577,26127,0
20085,28740,0
20542,49641,0
21041,20901,0
21550,39408,0
22035,451715,86399
22549,824560,459244
23056,853241,487925
23578,63576,0
24078,50512,0
24580,30481,0
25087,39331,0
25540,45287,0
26063,54976,0
26541,1198270,832954
27070,911571,546255
27570,1097404,732088
28073,1123315,757999
28578,1087824,722508
29083,1094791,729475
29591,1060511,695195
30099,954784,589468
30546,1106113,740797
31057,1092178,726862
31564,1087443,722127
32071,1102629,737313
32575,1089566,724250
33067,1224650,859334
33590,58368,0
34106,22655,0
34570,24385,0
35080,42944,0
35586,44416,0
36091,24385,0
36595,52323,0
,,
,,
,,
