Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
48,324495,0
501,740229,203901
1003,1444424,908096
1505,2308918,1772590
2022,924820,388492
2511,2036917,1500589
3024,781574,245246
3537,1303273,766945
4042,1126180,589852
4562,1189334,653006
5059,51040,0
5568,46628,0
6008,773767,237439
6525,71586,0
7044,53406,0
7554,33094,0
8048,471316,0
8572,21784,0
9071,73294,0
9540,51383,0
10048,31352,0
10550,50582,0
11031,833467,297139
11537,138838,0
12040,53649,0
12551,68337,0
13056,26127,0
13558,13934,0
14063,29611,0
14562,37449,0
15066,16547,0
15573,27107,0
16075,40061,0
16532,57562,0
17037,24385,0
17541,34836,0
18048,41803,0
18550,35707,0
19059,38429,0
19557,69184,0
20067,25256,0
20571,26127,0
21078,28740,0
21581,38320,0
22086,25256,0
22542,20901,0
23047,44416,0
23550,22643,0
24057,31352,0
24563,32223,0
25075,36246,0
25582,65926,0
26085,46766,0
26592,43683,0
27100,32223,0
27550,35707,0
28061,31352,0
28573,25256,0
29079,42674,0
29587,26127,0
30095,50049,0
30606,43614,0
31066,74704,0
31569,130392,0
32077,40932,0
32581,87635,0
33084,49711,0
33590,50982,0
34098,38389,0
34606,37718,0
35115,34836,0
35577,29230,0
36085,40932,0
36571,828205,291877
,,
,,
,,
